Study ID,CalfID,TRT,Vocalize,Kick,Struggle,Tail-flick,Layed Down
1,431637,LIDO,0,0,0,0,0
2,431580,BO,0,0,0,0,0
3,431603,B+N,0,10,7,3,0
4,431616,LIDO,0,0,0,0,0
5,431611,B+N,0,1,0,2,0
6,431633,BO,0,5,0,1,0
7,431618,BO,0,18,0,3,0
8,431639,B+N,0,28,4,8,0
9,431613,LIDO,0,0,0,0,0
10,431642,BO,0,3,5,3,0
11,431600,B+N,0,0,1,0,0
12,431605,LIDO,3,8,2,4,0
13,431635,B+N,0,5,2,3,1
14,431599,BO,2,2,3,2,0
15,431594,LIDO,0,2,0,1,0
16,431620,LIDO,0,1,0,0,0
17,431592,BO,0,7,1,2,0
18,431631,B+N,0,10,5,2,0
19,431610,LIDO,0,3,2,0,1
20,431608,BO,0,30,2,8,0
21,431598,B+N,0,2,1,1,0
22,431621,LIDO,0,4,1,5,0
23,431581,B+N,2,2,1,0,0
24,431622,BO,0,12,1,5,1
25,431636,B+N,0,6,1,5,1
26,431602,BO,0,2,0,2,0
27,431612,LIDO,0,1,0,0,0
28,409820,BO,0,26,1,5,0
29,409818,B+N,0,8,2,5,0
30,409821,LIDO,0,21,5,8,0
31,432001,B+N,0,20,1,7,0
32,432051,LIDO,0,5,0,3,0
33,432031,BO,0,17,1,12,0
34,431997,LIDO,0,6,0,3,0
35,432032,BO,0,6,0,5,0
36,432009,B+N,0,2,0,0,0
37,432006,B+N,0,19,1,2,0
38,432024,BO,0,17,1,7,0
39,432040,LIDO,0,14,0,2,0
40,431998,LIDO,0,9,0,2,0
41,432029,BO,0,6,0,0,1
42,432019,B+N,0,9,1,3,1
43,409933,B+N,0,13,0,9,0
44,432008,BO,0,8,0,5,1
45,432007,LIDO,0,5,0,2,0
46,432044,LIDO,0,5,0,0,0
47,432018,BO,0,3,0,0,1
48,432020,B+N,0,1,0,4,0
49,409925,LIDO,0,16,0,6,0
50,432045,B+N,0,15,0,4,0
51,409937,BO,0,4,0,11,0
52,432038,BO,0,13,0,11,0
53,432027,B+N,0,12,1,4,0
54,409927,LIDO,0,5,0,2,0
55,409922,B+N,1,18,0,10,0
56,432035,LIDO,0,13,0,4,1
57,432050,BO,0,10,0,1,0
58,409928,LIDO,0,7,0,6,0
59,409935,BO,0,22,0,9,0
60,432028,B+N,0,18,0,13,0
61,409926,BO,0,20,0,3,0
62,432026,B+N,0,2,0,0,0
63,432048,LIDO,0,26,0,9,0
64,432022,LIDO,0,4,0,2,0
65,449449,BO,0,3,0,1,0
66,449450,B+N,0,7,1,4,0
67,449435,B+N,0,3,0,0,0
68,449439,BO,0,4,0,2,0
69,449432,LIDO,0,2,0,1,0
70,433958,LIDO,0,6,0,0,0
71,443960,BO,0,11,0,5,0
72,449438,B+N,0,20,0,6,0
73,433954,LIDO,0,3,0,0,0
74,433967,B+N,0,12,0,5,0
75,433996,BO,0,12,1,2,0
76,433959,LIDO,0,3,0,3,0
77,433978,B+N,0,9,2,1,0
78,433970,BO,0,12,0,4,0
79,433979,BO,0,7,0,3,1
80,433965,B+N,0,12,0,2,1
81,449441,LIDO,0,0,0,0,0
82,434002,BO,0,31,1,6,0
83,433975,B+N,0,2,0,2,0
84,433994,LIDO,0,19,1,1,0
85,433980,B+N,0,9,0,1,0
86,433982,LIDO,0,0,0,0,0
87,449444,BO,0,11,0,2,0
88,433995,LIDO,0,26,0,7,1
89,434000,B+N,0,16,0,5,0
90,433984,BO,0,18,1,4,0
91,433981,LIDO,0,10,0,4,1
92,433969,BO,0,6,0,0,1
93,433971,B+N,0,5,0,3,0
94,433988,LIDO,0,11,0,1,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
